,main_section,section_name,sub_section_name,is_relevant,is_include
0,Progress Note,Wound Care Progress Note,HPI:,Yes,Yes
1,Progress Note,USF Internal Medicine Progress Note,Objective:,Yes,Yes
2,History & Physical,TRAUMA HISTORY AND PHYSICAL,Social History and Habits,Yes,Yes
3,OPERATIVE REPORT,Transesophageal Echocardiogram,CLOSURE OF THE WOUND,Yes,Yes
4,Progress Note,Table of Contents,DESCRIPTION OF PROCEDURE,Yes,Yes
5,OPERATIVE REPORT,Surgery - Peri-Operative Records,Surgeon,Yes,Yes
6,OPERATIVE REPORT,Surgery - Operative Records,Procedure Performed,Yes,Yes
7,Anesthesia Reports,Surgery - Anesthesia_Sedation Records,Arterial Line,Yes,Yes
8,Discharge Summary,Summary Discharge Report*,Home Medications,Yes,Yes
9,Progress Note,STERN CARDIOVASCULAR ICU PROGRESS NOTE,Review of Systems,Yes,Yes
10,Progress Note,Spiritual Care Assessment/Progress Note,Assessment,Yes,Yes
11,Progress Note,Social Work Progress Notes,RADIOLOGY AND DIAGNOSTIC,Yes,Yes
12,OPERATIVE REPORT,Report of operation,TRANSFER - OUT REPORT,Yes,Yes
13,OPERATIVE REPORT,RE-OP/OSU ASSESSMENTS,Specimens,Yes,Yes
14,Progress Note,RENAL PROGRESS NOTE,PATIENT IDENTIFICATION,Yes,Yes
15,CONSULTATION REPORT,REHAB CONSULT NOTE,Assessment/plan,Yes,Yes
16,Progress Note,Pulmonology Progress Note,SUBJECTIVE - MEDICINE,Yes,Yes
17,Progress Note,Pulmonology Progress Note,Interval History,Yes,Yes
18,CONSULTATION REPORT,Pulmonology Consult, History of Present Illness,Yes,Yes
19,Progress Note,PULMONARY CRITICAL CARE,DIET,No,Yes
20,CONSULTATION REPORT,pulmonary and critical care consult note,History,Yes,Yes
21,Progress Note,Provider - Progress Notes,PROCEDURE,Yes,Yes
22,Discharge Summary,Provider - Discharge Notes,Medications,Yes,Yes
23,CONSULTATION REPORT,Provider - Consult Notes,Ros,Yes,Yes
24,History & Physical,Provider - Admitting Notes_History and Physical,Subjective,Yes,Yes
25,Progress Note,Progress/Discharge Note PT,Subjective,Yes,Yes
26,Progress Note,Progress/Discharge Note PT,Discharge Diagnosis,Yes,Yes
27,Discharge Summary,Progress/Discharge Note PT,Physical Examination,Yes,Yes
28,Discharge Summary,Progress/Discharge Note PT,Health Status,Yes,Yes
29,Progress Note,Progress/Discharge Note OT,Hospital Course,Yes,Yes
30,Discharge Summary,Progress/Discharge Note OT,Allergies,Yes,Yes
31,Progress Note,Progress Quick Note,Wound Assessment,Yes,Yes
32,Progress Note,Progress Quick Note,Type of Anesthesia,Yes,Yes
33,Progress Note,Progress Quick Note,TREATMENT PLAN,Yes,Yes
34,Progress Note,Progress Quick Note,Treatment Log,Yes,Yes
35,Progress Note,Progress Quick Note,Transfers OT,Yes,Yes
36,Progress Note,Progress Quick Note,Transfer Rehab Grid,Yes,Yes
37,Progress Note,Progress Quick Note,Technical/Surgical Procedures Used,Yes,Yes
38,Progress Note,Progress Quick Note,Surgical Plan of Care Note,Yes,Yes
39,Progress Note,Progress Quick Note,Surgical history,Yes,Yes
40,Progress Note,Progress Quick Note,Summary Note,Yes,Yes
41,Progress Note,Progress Quick Note,SUBJECTIVE | INTERVAL EVENTS,Yes,Yes
42,Progress Note,Progress Quick Note,SUBJECTIVE & PLAN,Yes,Yes
43,Progress Note,Progress Quick Note,Specimens/Tissue Removed:,Yes,Yes
44,Progress Note,Progress Quick Note,SOCIAL HISTORY,Yes,Yes
45,Progress Note,Progress Quick Note,Social,Yes,Yes
46,Progress Note,Progress Quick Note,SICU History and Physical,Yes,Yes
47,Progress Note,Progress Quick Note,Short Term PT Goals Grid,Yes,Yes
